Model,MSE,RMSE,MAE,R2
Random Forest,0.0012094087734088462,0.034776554938763644,0.02563421863144977,0.817154755614335
Optimized Random Forest,0.001314868128625666,0.036261110416335375,0.02660157647174455,0.8012108150697137
XGBoost,0.0013394023295263402,0.036597845968394646,0.027347196679470834,0.797501596104114
CatBoost,0.0013790713558585025,0.03713585000856319,0.02892816938320944,0.791504208807343
LightGBM,0.0014112563802611358,0.03756669243174245,0.028321445112241203,0.786638295162719
Ridge Regression,0.0026197240260624724,0.051183239698777104,0.04229657005021395,0.6039353357605739
MLP,0.007822225887389227,0.08844334846323508,0.07135625540972643,-0.18260825906548406
Linear Regression,1.0047439501943429e+21,31697696291.597324,29593026819.983288,-1.5190286126376404e+23
