Feature;Importance
Country_Belgium;0.07961023287060708
Country_Denmark;0.07606986477155056
Country_Ireland;0.06541949008342175
Country_Germany;0.0652576474987687
Gas_Price;0.05313317725077587
Year;0.05274780221966842
Country_Italy;0.05264082952403704
Country_Liechtenstein;0.043398571939340165
Gas_Price_Pct_Change;0.034276097308550406
Country_Kosovo*;0.0314921052260486
Country_Cyprus;0.029619178138048242
Country_Türkiye;0.026628413574894892
Country_Georgia;0.02336954194672363
Country_Spain;0.022483400697546226
Ukraine_War;0.021938363977697863
Country_Bosnia and Herzegovina;0.021413532742969435
Country_Serbia;0.021205981434814704
Country_Czechia;0.019408510747176807
Country_Montenegro;0.01872983836692245
Country_Hungary;0.017793360237937622
Country_North Macedonia;0.01686664826407554
Country_Netherlands;0.014931223413246014
Country_Bulgaria;0.014860896971652065
Country_Austria;0.014514800055288983
Country_Greece;0.012271103261804221
Country_Latvia;0.01149539550656388
Energy_Crisis;0.011097743044186282
Country_Sweden;0.009374394587900636
Country_Luxembourg;0.009370477669932471
Country_Malta;0.009255201505882837
Country_France;0.009034509424092658
Semester_Number;0.008314863319833587
Country_Portugal;0.007830053338165296
Country_Croatia;0.007797545132720683
Country_Romania;0.006843753279243717
Gas_Trend;0.006836458438115479
Country_Norway;0.006532053515587378
Country_Finland;0.005960928445065345
Country_Estonia;0.005826698271415756
Country_Moldova;0.005608864256386568
Country_Iceland;0.00555463757305348
Country_Lithuania;0.005507098881731629
Country_Poland;0.004651797999098822
Country_Slovakia;0.0044056782866273144
Country_Slovenia;0.004219466264067434
Country_Ukraine;0.003110746232201588
Middle_East_Conflict;0.0012910225045600298
