Model,MSE,RMSE,MAE,R2
Ridge Regression,4.002592590752438,2.0006480426982747,1.4349328943615336,0.9345397764595571
Linear Regression,4.122599365276594,2.030418519733455,1.4632554582045343,0.9325771309720127
LightGBM,4.604756732791571,2.1458696914751303,1.5903345878389112,0.9246917096248282
XGBoost,5.334022399134864,2.3095502590623274,1.7880148430848735,0.9127649665309906
CatBoost,9.044073341468476,3.0073365859957337,2.3018424916786806,0.8520891024441253
Random Forest,9.384730666074041,3.0634507774850963,2.3935892307692246,0.8465178372919111
