Feature;Importance
Country_Belgium;0.08379633606364283
Country_Denmark;0.08092553189031863
Country_Ireland;0.06320480114257883
Country_Germany;0.06237850459303478
Country_Kosovo*;0.05044760749030925
Country_Italy;0.047488124481980074
Country_Türkiye;0.04307280881154564
Country_Liechtenstein;0.04129020816207964
Country_Georgia;0.036695834005059255
Country_Bosnia and Herzegovina;0.03576351373110743
Year;0.03517814550809517
Country_Serbia;0.033929754606687845
Country_Montenegro;0.029277089434692313
Country_Hungary;0.026601317457601935
Country_Cyprus;0.02586030590282538
Country_North Macedonia;0.024373872174086205
Country_Spain;0.02133442896346206
Ukraine_War;0.02073849913277353
Country_Bulgaria;0.020168712190081428
Country_Czechia;0.018489962333361688
Country_Netherlands;0.017910472428923453
Gas_Price;0.017692241423177765
Country_Austria;0.012406183735709007
Gas_Price_Pct_Change;0.012229433683150956
Country_Greece;0.012156692630078477
Country_Malta;0.011420053072127182
Country_Latvia;0.010497389481154027
Gas_Trend;0.009355974571110528
Country_Croatia;0.008578646117739336
Country_Luxembourg;0.00774378144693529
Country_Sweden;0.0076044741827261024
Country_France;0.007516987163685163
Country_Romania;0.00717430554260388
Country_Moldova;0.006876094720895665
Country_Iceland;0.006123094539203199
Country_Portugal;0.005748946187567435
Country_Poland;0.004703942230584667
Semester_Number;0.004443548412239433
Country_Ukraine;0.004385060271110622
Country_Norway;0.004058974352346129
Energy_Crisis;0.003832193683281528
Country_Lithuania;0.0037350185735493344
Country_Slovakia;0.0032646204051067283
Country_Estonia;0.003244050743680424
Country_Finland;0.0030825591695106368
Country_Slovenia;0.0021586418170114847
Middle_East_Conflict;0.0010412613394674684
